RevenueID,Date,UserID,MRRAmount,GrowthMoM
1,2024-02-12,USR_0500,955.47,0.1305
2,2025-01-17,USR_0351,2874.52,0.0767
3,2024-09-25,USR_0367,441.89,0.0096
4,2024-01-14,USR_0216,488.03,-0.0011
5,2025-10-25,USR_0448,1297.44,0.0858
6,2024-11-24,USR_0009,2367.16,0.0191
7,2024-06-12,USR_0037,142.57,0.0038
8,2024-08-24,USR_0219,1124.87,0.0681
9,2025-11-29,USR_0432,1565.88,0.0207
10,2025-09-08,USR_0201,1780.11,0.0377
11,2025-07-22,USR_0291,1003.16,0.0113
12,2024-09-26,USR_0103,1552.09,0.0716
13,2025-12-20,USR_0062,669.63,0.0167
14,2024-03-14,USR_0176,9.0,0.0182
15,2024-04-01,USR_0480,680.47,0.0451
16,2025-01-26,USR_0447,456.83,0.0333
17,2024-09-09,USR_0306,622.67,0.0541
18,2024-09-12,USR_0012,2081.74,0.055
19,2025-08-31,USR_0433,84.12,0.0506
20,2025-10-31,USR_0216,19.77,0.0456
21,2025-01-13,USR_0380,1254.64,0.0249
22,2024-09-27,USR_0257,2148.59,0.1333
23,2024-12-23,USR_0456,2733.6,0.0436
24,2024-08-07,USR_0042,1435.7,0.0597
25,2024-04-26,USR_0478,405.75,0.031
26,2024-01-16,USR_0243,541.83,0.0362
27,2024-04-12,USR_0178,317.67,0.0624
28,2025-12-29,USR_0325,2506.97,0.0904
29,2024-12-01,USR_0479,476.16,0.086
30,2025-07-05,USR_0170,1439.53,0.0754
31,2024-05-23,USR_0417,3317.91,0.0738
32,2025-06-23,USR_0127,2940.96,0.0886
33,2025-01-27,USR_0069,1809.15,0.0855
34,2024-07-23,USR_0438,2859.07,0.0539
35,2024-10-06,USR_0146,1393.48,-0.0164
36,2024-03-13,USR_0019,588.57,0.0305
37,2024-10-16,USR_0274,425.85,0.065
38,2025-08-12,USR_0119,899.31,0.0138
39,2024-12-14,USR_0226,1021.82,0.0452
40,2024-12-25,USR_0253,1272.04,0.0251
41,2024-04-02,USR_0396,1115.02,0.0947
42,2025-10-26,USR_0031,2158.28,0.0577
43,2025-02-18,USR_0184,1731.73,0.0204
44,2024-08-21,USR_0225,2116.73,0.0399
45,2024-06-01,USR_0260,120.89,0.02
46,2024-02-20,USR_0246,1169.22,0.072
47,2025-05-18,USR_0132,272.73,0.0553
48,2024-11-12,USR_0333,283.21,0.1057
49,2025-06-03,USR_0325,338.95,0.0191
50,2025-11-07,USR_0053,2961.35,0.0338
51,2024-05-27,USR_0364,760.7,0.0693
52,2024-04-12,USR_0269,997.48,0.0411
53,2024-12-16,USR_0319,13.81,0.0067
54,2024-10-14,USR_0313,2065.79,0.0723
55,2024-07-25,USR_0376,568.94,0.0312
56,2025-12-14,USR_0414,1185.29,0.0584
57,2025-08-13,USR_0451,367.7,0.0709
58,2025-11-03,USR_0198,876.35,0.0232
59,2025-12-01,USR_0096,844.42,0.0646
60,2024-02-25,USR_0067,6000.31,0.046
