ThemeID,ThemeName,Category,ImpactScore
1,stakeholder conflicts,Pain,2.32
2,prioritization struggles,Pain,1.31
3,no authority,Pain,2.16
4,endless meetings,Pain,1.89
5,C suite overrides,Pain,1.36
6,decision fatigue,Pain,0.84
7,politics,Pain,0.74
8,no customer validation,Pain,2.58
9,roadmap misalignment,Pain,2.8
10,project manager duties,Pain,2.12
11,real user impact,Dream,0.76
12,strategic freedom,Dream,1.51
13,supportive teams,Dream,2.32
14,innovative company,Dream,2.45
15,broader role,Dream,0.8
16,better WLB,Dream,0.5
17,own business,Dream,2.28
18,Notion-like culture,Dream,1.39
