EventID,Date,UserID,Feature,EventType,ChurnFlag
1,2024-03-23,USR_0133,Analytics Dashboard,Adopt,1
2,2025-08-30,USR_0495,Analytics Dashboard,Churn,0
3,2025-03-12,USR_0194,Stakeholder Tool,Adopt,0
4,2024-02-12,USR_0500,Meeting Optimizer,Churn,0
5,2025-03-14,USR_0411,Meeting Optimizer,Churn,0
6,2025-01-10,USR_0317,Analytics Dashboard,Churn,0
7,2025-12-20,USR_0089,Roadmap Planner,Adopt,0
8,2025-05-12,USR_0367,Meeting Optimizer,Adopt,1
9,2025-12-20,USR_0079,Meeting Optimizer,Adopt,0
10,2025-06-02,USR_0497,Roadmap Planner,Adopt,0
11,2024-07-06,USR_0401,Analytics Dashboard,Adopt,1
12,2024-09-16,USR_0039,Roadmap Planner,Adopt,0
13,2025-03-17,USR_0390,Roadmap Planner,Adopt,0
14,2024-02-02,USR_0012,Roadmap Planner,Adopt,1
15,2025-02-25,USR_0364,Stakeholder Tool,Adopt,1
16,2024-07-15,USR_0251,Stakeholder Tool,Adopt,1
17,2025-08-11,USR_0392,Stakeholder Tool,Adopt,0
18,2024-07-13,USR_0333,Meeting Optimizer,Churn,0
19,2024-05-13,USR_0025,Analytics Dashboard,Adopt,0
20,2025-04-12,USR_0068,Roadmap Planner,Churn,1
21,2024-09-25,USR_0367,Analytics Dashboard,Adopt,0
22,2025-11-29,USR_0037,Meeting Optimizer,Churn,1
23,2025-03-19,USR_0328,Stakeholder Tool,Churn,0
24,2024-03-04,USR_0407,Analytics Dashboard,Adopt,0
25,2024-10-29,USR_0135,Stakeholder Tool,Churn,0
26,2024-12-10,USR_0182,Stakeholder Tool,Adopt,0
27,2024-11-24,USR_0009,Analytics Dashboard,Churn,0
28,2024-06-12,USR_0037,Meeting Optimizer,Churn,0
29,2024-07-15,USR_0276,Roadmap Planner,Adopt,1
30,2025-11-28,USR_0075,Roadmap Planner,Adopt,0
31,2024-05-23,USR_0210,Roadmap Planner,Churn,1
32,2024-08-02,USR_0174,Meeting Optimizer,Churn,0
33,2025-08-24,USR_0222,Meeting Optimizer,Churn,0
34,2024-01-24,USR_0050,Analytics Dashboard,Churn,0
35,2024-03-19,USR_0377,Analytics Dashboard,Adopt,0
36,2024-12-12,USR_0357,Stakeholder Tool,Churn,0
37,2024-09-29,USR_0132,Stakeholder Tool,Adopt,0
38,2025-09-08,USR_0201,Analytics Dashboard,Churn,0
39,2025-08-04,USR_0362,Stakeholder Tool,Adopt,0
40,2024-03-19,USR_0314,Roadmap Planner,Adopt,0
41,2024-08-28,USR_0455,Analytics Dashboard,Churn,0
42,2025-09-01,USR_0402,Analytics Dashboard,Churn,1
43,2025-07-22,USR_0291,Meeting Optimizer,Adopt,1
44,2024-09-29,USR_0428,Analytics Dashboard,Churn,0
45,2024-07-16,USR_0390,Analytics Dashboard,Churn,0
46,2024-03-09,USR_0055,Roadmap Planner,Adopt,0
47,2024-09-26,USR_0103,Roadmap Planner,Adopt,0
48,2025-12-20,USR_0062,Roadmap Planner,Adopt,1
49,2024-03-14,USR_0176,Roadmap Planner,Adopt,1
50,2025-10-10,USR_0273,Stakeholder Tool,Adopt,0
51,2025-01-10,USR_0265,Roadmap Planner,Churn,0
52,2024-04-01,USR_0480,Meeting Optimizer,Adopt,0
53,2024-05-23,USR_0157,Analytics Dashboard,Adopt,0
54,2024-04-30,USR_0436,Meeting Optimizer,Churn,0
55,2024-09-10,USR_0084,Stakeholder Tool,Adopt,0
56,2024-01-18,USR_0071,Stakeholder Tool,Churn,0
57,2024-09-23,USR_0119,Roadmap Planner,Churn,0
58,2025-01-26,USR_0447,Analytics Dashboard,Adopt,0
59,2024-09-09,USR_0306,Stakeholder Tool,Adopt,0
60,2025-03-18,USR_0304,Analytics Dashboard,Churn,0
61,2024-12-08,USR_0232,Roadmap Planner,Churn,0
62,2025-02-05,USR_0309,Meeting Optimizer,Adopt,0
63,2024-10-01,USR_0321,Stakeholder Tool,Adopt,1
64,2024-12-04,USR_0090,Roadmap Planner,Churn,1
65,2024-03-28,USR_0151,Stakeholder Tool,Adopt,0
66,2025-07-30,USR_0108,Stakeholder Tool,Adopt,0
67,2025-08-12,USR_0422,Meeting Optimizer,Churn,1
68,2025-02-02,USR_0396,Stakeholder Tool,Churn,0
69,2024-12-01,USR_0354,Roadmap Planner,Churn,1
70,2024-10-20,USR_0059,Meeting Optimizer,Adopt,1
71,2024-06-16,USR_0098,Meeting Optimizer,Churn,0
72,2024-02-13,USR_0151,Stakeholder Tool,Adopt,1
73,2024-01-19,USR_0007,Stakeholder Tool,Adopt,0
74,2025-04-30,USR_0120,Analytics Dashboard,Churn,1
75,2024-06-01,USR_0493,Meeting Optimizer,Churn,0
76,2025-05-11,USR_0322,Stakeholder Tool,Adopt,0
77,2024-01-19,USR_0423,Meeting Optimizer,Adopt,1
78,2025-10-31,USR_0216,Meeting Optimizer,Adopt,0
79,2025-10-02,USR_0271,Stakeholder Tool,Adopt,0
80,2025-01-13,USR_0380,Analytics Dashboard,Adopt,0
81,2025-08-16,USR_0220,Roadmap Planner,Adopt,1
82,2024-11-06,USR_0088,Stakeholder Tool,Adopt,1
83,2025-10-19,USR_0463,Analytics Dashboard,Adopt,0
84,2025-04-30,USR_0044,Analytics Dashboard,Churn,0
