UserID,Segment,CompanySize,PMExperienceYears,ChurnRiskScore
USR_0001,Enterprise PMs,201-1000,8,0.434
USR_0002,Mid-market PMs,51-200,4,0.205
USR_0003,Startup PMs,11-50,5,0.338
USR_0004,SMB PMs,201-1000,9,0.423
USR_0005,Enterprise PMs,201-1000,2,0.295
USR_0006,Enterprise PMs,11-50,1,0.368
USR_0007,Enterprise PMs,1000+,3,0.223
USR_0008,Mid-market PMs,201-1000,6,0.271
USR_0009,SMB PMs,1000+,1,0.269
USR_0010,Startup PMs,201-1000,2,0.188
USR_0011,Enterprise PMs,201-1000,8,0.273
USR_0012,Mid-market PMs,51-200,7,0.068
USR_0013,Startup PMs,1000+,3,0.226
USR_0014,Enterprise PMs,1000+,1,0.257
USR_0015,Enterprise PMs,1-10,6,0.262
USR_0016,Enterprise PMs,1-10,4,0.264
USR_0017,Enterprise PMs,51-200,5,0.291
USR_0018,SMB PMs,201-1000,3,0.372
USR_0019,SMB PMs,1000+,3,0.431
USR_0020,Enterprise PMs,11-50,5,0.203
USR_0021,SMB PMs,51-200,5,0.12
USR_0022,Enterprise PMs,51-200,4,0.144
USR_0023,Enterprise PMs,1000+,6,0.227
USR_0024,Enterprise PMs,201-1000,3,0.247
USR_0025,SMB PMs,201-1000,4,0.185
USR_0026,Startup PMs,51-200,2,0.106
USR_0027,Enterprise PMs,51-200,7,0.232
USR_0028,SMB PMs,11-50,10,0.327
USR_0029,SMB PMs,1-10,4,0.389
USR_0030,Enterprise PMs,1000+,4,0.216
USR_0031,SMB PMs,201-1000,3,0.238
USR_0032,Enterprise PMs,1000+,5,0.161
USR_0033,Enterprise PMs,1000+,5,0.295
USR_0034,Mid-market PMs,51-200,5,0.173
USR_0035,Mid-market PMs,201-1000,2,0.386
USR_0036,Startup PMs,1000+,2,0.032
USR_0037,Enterprise PMs,201-1000,5,0.246
USR_0038,Enterprise PMs,11-50,2,0.345
USR_0039,Startup PMs,51-200,1,0.328
USR_0040,SMB PMs,1-10,6,0.704
USR_0041,Enterprise PMs,1000+,4,0.352
USR_0042,SMB PMs,201-1000,3,0.149
USR_0043,Enterprise PMs,11-50,5,0.286
USR_0044,Mid-market PMs,201-1000,5,0.034
USR_0045,Enterprise PMs,201-1000,1,0.288
USR_0046,Startup PMs,51-200,5,0.175
USR_0047,Enterprise PMs,1-10,7,0.437
USR_0048,SMB PMs,201-1000,5,0.218
USR_0049,SMB PMs,51-200,4,0.282
USR_0050,Enterprise PMs,201-1000,4,0.205
USR_0051,Mid-market PMs,51-200,0,0.561
USR_0052,Startup PMs,1000+,2,0.252
USR_0053,Mid-market PMs,51-200,5,0.575
USR_0054,Mid-market PMs,51-200,2,0.422
USR_0055,SMB PMs,1000+,5,0.372
USR_0056,Mid-market PMs,51-200,0,0.355
USR_0057,Enterprise PMs,1-10,2,0.359
USR_0058,Enterprise PMs,1-10,1,0.011
USR_0059,Enterprise PMs,201-1000,2,0.258
USR_0060,Enterprise PMs,201-1000,4,0.427
USR_0061,Enterprise PMs,201-1000,3,0.293
USR_0062,Enterprise PMs,11-50,4,0.089
USR_0063,Startup PMs,1-10,4,0.292
USR_0064,Enterprise PMs,1-10,7,0.556
USR_0065,Enterprise PMs,51-200,1,0.487
USR_0066,SMB PMs,51-200,4,0.291
USR_0067,Enterprise PMs,51-200,6,0.443
USR_0068,Startup PMs,51-200,5,0.245
USR_0069,Enterprise PMs,1000+,1,0.044
USR_0070,Mid-market PMs,11-50,6,0.161
USR_0071,Startup PMs,51-200,4,0.534
USR_0072,Enterprise PMs,201-1000,7,0.259
USR_0073,Enterprise PMs,51-200,4,0.263
USR_0074,Startup PMs,201-1000,5,0.255
USR_0075,Startup PMs,1000+,6,0.586
USR_0076,Startup PMs,1000+,4,0.544
USR_0077,Startup PMs,1-10,5,0.633
USR_0078,Enterprise PMs,1000+,1,0.276
USR_0079,Enterprise PMs,51-200,4,0.344
USR_0080,Enterprise PMs,11-50,3,0.073
USR_0081,Mid-market PMs,51-200,1,0.522
USR_0082,SMB PMs,1000+,7,0.125
USR_0083,Enterprise PMs,51-200,2,0.333
USR_0084,Enterprise PMs,11-50,3,0.135
USR_0085,Enterprise PMs,201-1000,4,0.212
USR_0086,Enterprise PMs,11-50,3,0.174
USR_0087,Startup PMs,1-10,7,0.209
USR_0088,SMB PMs,1-10,1,0.219
USR_0089,Mid-market PMs,1-10,4,0.218
USR_0090,SMB PMs,11-50,7,0.425
USR_0091,Enterprise PMs,1-10,4,0.134
USR_0092,Startup PMs,201-1000,6,0.333
USR_0093,Startup PMs,11-50,3,0.483
USR_0094,SMB PMs,11-50,8,0.223
USR_0095,Startup PMs,1000+,6,0.192
USR_0096,SMB PMs,51-200,1,0.265
USR_0097,SMB PMs,201-1000,4,0.477
USR_0098,SMB PMs,11-50,3,0.329
USR_0099,Enterprise PMs,11-50,3,0.22
USR_0100,Enterprise PMs,1-10,5,0.373
USR_0101,Enterprise PMs,11-50,4,0.135
USR_0102,SMB PMs,11-50,5,0.402
USR_0103,Enterprise PMs,11-50,1,0.361
USR_0104,SMB PMs,1-10,4,0.254
USR_0105,Mid-market PMs,1-10,3,0.174
USR_0106,Enterprise PMs,51-200,3,0.167
USR_0107,SMB PMs,11-50,5,0.38
USR_0108,Startup PMs,51-200,2,0.484
USR_0109,Enterprise PMs,51-200,3,0.204
USR_0110,Enterprise PMs,201-1000,6,0.369
USR_0111,Enterprise PMs,1-10,6,0.0
USR_0112,Enterprise PMs,201-1000,5,0.212
USR_0113,Mid-market PMs,201-1000,5,0.295
USR_0114,Startup PMs,1-10,5,0.164
USR_0115,SMB PMs,1000+,2,0.16
USR_0116,Mid-market PMs,1000+,5,0.2
USR_0117,Startup PMs,1-10,5,0.344
USR_0118,Enterprise PMs,11-50,4,0.272
USR_0119,Mid-market PMs,201-1000,3,0.0
USR_0120,SMB PMs,201-1000,2,0.0
USR_0121,Startup PMs,11-50,3,0.209
USR_0122,Mid-market PMs,11-50,3,0.369
USR_0123,Enterprise PMs,51-200,5,0.0
USR_0124,Enterprise PMs,51-200,6,0.225
USR_0125,Enterprise PMs,201-1000,4,0.221
USR_0126,SMB PMs,51-200,3,0.508
USR_0127,Startup PMs,51-200,5,0.242
USR_0128,Mid-market PMs,201-1000,7,0.357
USR_0129,Enterprise PMs,1-10,5,0.321
USR_0130,SMB PMs,11-50,3,0.0
USR_0131,SMB PMs,201-1000,5,0.415
USR_0132,Enterprise PMs,1000+,7,0.332
USR_0133,Enterprise PMs,51-200,7,0.376
USR_0134,Enterprise PMs,51-200,3,0.889
USR_0135,Mid-market PMs,1-10,7,0.0
USR_0136,Enterprise PMs,51-200,4,0.559
USR_0137,SMB PMs,51-200,2,0.257
USR_0138,Startup PMs,11-50,5,0.343
USR_0139,Enterprise PMs,11-50,3,0.293
USR_0140,Mid-market PMs,51-200,3,0.236
USR_0141,Mid-market PMs,1-10,3,0.215
USR_0142,Enterprise PMs,11-50,4,0.349
USR_0143,SMB PMs,11-50,1,0.072
USR_0144,Enterprise PMs,11-50,3,0.413
USR_0145,Enterprise PMs,1-10,7,0.238
USR_0146,Enterprise PMs,1000+,3,0.13
USR_0147,SMB PMs,51-200,5,0.232
USR_0148,SMB PMs,201-1000,2,0.489
USR_0149,Enterprise PMs,201-1000,3,0.22
USR_0150,Enterprise PMs,51-200,1,0.354
USR_0151,Mid-market PMs,1-10,5,0.19
USR_0152,Enterprise PMs,51-200,4,0.414
USR_0153,Enterprise PMs,51-200,3,0.403
USR_0154,SMB PMs,201-1000,7,0.577
USR_0155,Mid-market PMs,51-200,4,0.274
USR_0156,Enterprise PMs,1-10,7,0.4
USR_0157,Startup PMs,11-50,5,0.315
USR_0158,Startup PMs,51-200,2,0.494
USR_0159,Enterprise PMs,201-1000,1,0.192
USR_0160,Startup PMs,51-200,6,0.412
USR_0161,Enterprise PMs,51-200,2,0.271
USR_0162,SMB PMs,1000+,3,0.29
USR_0163,SMB PMs,201-1000,3,0.314
USR_0164,SMB PMs,11-50,3,0.338
USR_0165,Enterprise PMs,1-10,4,0.283
USR_0166,Startup PMs,11-50,9,0.332
USR_0167,Enterprise PMs,11-50,4,0.537
USR_0168,Enterprise PMs,11-50,4,0.448
USR_0169,Enterprise PMs,11-50,7,0.43
USR_0170,SMB PMs,11-50,7,0.232
USR_0171,Startup PMs,11-50,4,0.167
USR_0172,Enterprise PMs,1000+,3,0.443
USR_0173,SMB PMs,1-10,6,0.431
USR_0174,Enterprise PMs,51-200,6,0.521
USR_0175,SMB PMs,51-200,0,0.209
USR_0176,Enterprise PMs,1000+,3,0.266
USR_0177,Startup PMs,1-10,5,0.054
USR_0178,Enterprise PMs,51-200,4,0.241
USR_0179,Mid-market PMs,1000+,3,0.449
