MentionID,Date,SourceID,ThemeID,UserID,Segment,Type,SentimentScore,FrequencyWeight,PhraseText
1,2024-03-23,5,3,USR_0133,Enterprise PMs,Pain,-0.62,3,
2,2025-08-30,3,7,USR_0495,SMB PMs,Dream,-0.39,18,
3,2025-03-12,1,17,USR_0194,SMB PMs,Phrase,0.9,1,slow down to speed up
4,2024-03-13,4,6,USR_0475,SMB PMs,Pain,-0.11,4,C suite idiots
5,2024-02-12,3,8,USR_0500,Mid-market PMs,Pain,-0.09,1,impacting users lives
6,2025-03-14,3,10,USR_0411,Enterprise PMs,Dream,-0.39,1,
7,2025-01-10,3,7,USR_0317,SMB PMs,Dream,-0.21,28,
8,2025-12-20,1,13,USR_0089,Mid-market PMs,Pain,0.47,10,
9,2025-05-12,4,11,USR_0367,Mid-market PMs,Pain,0.82,1,
10,2025-12-20,4,13,USR_0079,Enterprise PMs,Pain,0.68,1,
11,2025-06-02,1,18,USR_0497,SMB PMs,Phrase,0.59,1,
12,2024-07-06,2,4,USR_0401,Enterprise PMs,Dream,-0.02,1,boulder uphill
13,2025-09-26,3,14,USR_0377,Startup PMs,Phrase,0.83,1,impacting users lives
14,2024-09-16,5,17,USR_0039,Startup PMs,Dream,0.9,1,
15,2025-03-17,2,13,USR_0390,Startup PMs,Dream,0.68,3,boulder uphill
16,2024-02-02,2,5,USR_0012,Mid-market PMs,Phrase,-0.55,1,
17,2025-02-25,5,1,USR_0364,SMB PMs,Phrase,-0.19,1,
18,2025-01-17,2,16,USR_0351,SMB PMs,Pain,1.0,1,
19,2024-07-15,2,10,USR_0251,Enterprise PMs,Phrase,-0.55,2,slow down to speed up
20,2025-08-11,5,3,USR_0392,SMB PMs,Phrase,-0.34,1,C suite idiots
21,2024-07-13,1,14,USR_0333,Enterprise PMs,Pain,0.75,6,
22,2024-01-12,1,17,USR_0188,SMB PMs,Pain,0.73,1,
23,2024-05-13,5,11,USR_0025,SMB PMs,Phrase,0.52,2,CEO without power
24,2025-04-12,4,1,USR_0068,Startup PMs,Phrase,-0.65,1,not psychic
25,2024-09-25,5,18,USR_0367,Mid-market PMs,Phrase,0.7,1,
26,2024-01-14,5,12,USR_0216,Enterprise PMs,Dream,0.22,11,C suite idiots
27,2025-11-29,1,17,USR_0037,Enterprise PMs,Pain,0.4,1,
28,2025-03-19,5,14,USR_0328,SMB PMs,Pain,0.71,1,
29,2024-03-04,3,11,USR_0407,Enterprise PMs,Pain,0.76,1,sandbagging gatekeepers
30,2024-10-29,3,10,USR_0135,Mid-market PMs,Dream,-0.37,7,
31,2024-04-21,5,13,USR_0177,Startup PMs,Pain,0.5,1,
32,2024-10-23,3,6,USR_0390,Startup PMs,Phrase,-0.55,1,
33,2025-10-25,3,18,USR_0448,Startup PMs,Pain,0.05,2,
34,2024-12-10,2,16,USR_0182,Enterprise PMs,Phrase,0.64,1,impacting users lives
35,2024-02-17,3,7,USR_0287,SMB PMs,Dream,-0.19,1,
36,2024-11-24,4,8,USR_0009,SMB PMs,Pain,-0.68,1,
37,2025-09-12,2,9,USR_0008,Mid-market PMs,Phrase,-0.75,1,slow down to speed up
38,2024-06-12,5,12,USR_0037,Enterprise PMs,Phrase,0.87,1,
39,2024-07-15,1,18,USR_0276,SMB PMs,Dream,0.25,1,slow down to speed up
40,2025-11-28,3,18,USR_0075,Startup PMs,Phrase,0.92,1,
41,2024-08-04,4,3,USR_0183,Mid-market PMs,Phrase,-0.21,1,
42,2024-05-23,3,8,USR_0210,Enterprise PMs,Pain,-0.15,10,
43,2024-08-02,5,17,USR_0174,Enterprise PMs,Phrase,0.45,3,
44,2025-08-24,5,7,USR_0222,SMB PMs,Pain,-0.16,8,
45,2024-08-24,3,1,USR_0219,SMB PMs,Phrase,-0.58,1,not psychic
46,2025-11-29,1,3,USR_0432,Startup PMs,Phrase,-0.61,8,
47,2024-01-24,4,18,USR_0050,Enterprise PMs,Phrase,0.95,1,
48,2025-12-02,5,9,USR_0354,Enterprise PMs,Pain,-0.53,1,boulder uphill
49,2024-03-19,4,14,USR_0377,Startup PMs,Phrase,0.94,1,slow down to speed up
50,2024-12-12,2,17,USR_0357,Enterprise PMs,Pain,0.85,1,
51,2024-09-29,2,2,USR_0132,Enterprise PMs,Dream,0.03,3,
52,2025-09-08,5,8,USR_0201,SMB PMs,Dream,-0.75,1,
53,2024-04-06,1,4,USR_0260,Enterprise PMs,Dream,-0.42,6,
54,2025-08-04,2,18,USR_0362,SMB PMs,Dream,0.59,1,
55,2024-03-19,2,2,USR_0314,Mid-market PMs,Dream,-0.24,1,
56,2025-03-06,4,10,USR_0435,Enterprise PMs,Phrase,-0.86,1,boulder uphill
57,2024-08-28,1,15,USR_0455,Enterprise PMs,Dream,0.66,1,
58,2025-09-01,1,16,USR_0402,Mid-market PMs,Dream,0.27,1,impacting users lives
59,2025-07-22,4,2,USR_0291,Enterprise PMs,Phrase,-0.42,6,slow down to speed up
60,2024-09-29,1,7,USR_0428,Mid-market PMs,Dream,-0.38,10,
61,2024-03-21,5,12,USR_0326,Startup PMs,Pain,1.0,3,
62,2024-07-16,3,18,USR_0390,Startup PMs,Phrase,0.47,1,
63,2024-03-09,5,2,USR_0055,SMB PMs,Dream,-0.42,8,
64,2025-02-16,2,1,USR_0169,Enterprise PMs,Phrase,0.02,8,
65,2024-09-26,4,6,USR_0103,Enterprise PMs,Dream,-0.35,4,
66,2025-12-20,1,15,USR_0062,Enterprise PMs,Dream,0.63,5,C suite idiots
67,2024-03-14,1,5,USR_0176,Enterprise PMs,Pain,-0.11,1,
68,2025-10-10,4,17,USR_0273,Mid-market PMs,Dream,0.59,1,
69,2024-09-30,2,16,USR_0212,Startup PMs,Phrase,0.54,1,
70,2025-01-10,3,12,USR_0265,Mid-market PMs,Pain,0.75,1,
71,2024-04-01,1,18,USR_0480,SMB PMs,Pain,0.05,7,
72,2024-11-03,4,7,USR_0046,Startup PMs,Pain,-0.2,9,
73,2024-05-23,2,8,USR_0157,Startup PMs,Phrase,-0.24,3,
74,2024-04-30,5,3,USR_0436,Startup PMs,Pain,-0.99,4,
75,2024-10-08,5,16,USR_0484,SMB PMs,Phrase,0.78,1,boulder uphill
76,2024-09-10,4,2,USR_0084,Enterprise PMs,Phrase,0.08,9,
77,2024-01-18,4,8,USR_0071,Startup PMs,Phrase,-0.42,4,
78,2024-07-10,3,5,USR_0023,Enterprise PMs,Dream,-0.48,1,impacting users lives
79,2024-09-23,2,3,USR_0119,Mid-market PMs,Dream,-0.34,15,
80,2025-05-30,2,13,USR_0354,Enterprise PMs,Dream,0.96,10,
81,2025-01-26,5,11,USR_0447,Mid-market PMs,Dream,0.23,1,sandbagging gatekeepers
82,2024-09-09,2,12,USR_0306,Mid-market PMs,Phrase,0.93,1,
83,2024-10-20,3,10,USR_0120,SMB PMs,Pain,-0.53,17,
84,2025-03-18,2,12,USR_0304,SMB PMs,Dream,0.52,5,
85,2024-12-08,5,7,USR_0232,SMB PMs,Phrase,-0.53,14,sandbagging gatekeepers
86,2025-02-05,5,12,USR_0309,Startup PMs,Pain,0.65,10,
87,2024-10-01,2,16,USR_0321,SMB PMs,Pain,0.52,1,
88,2024-12-04,5,3,USR_0090,SMB PMs,Dream,-0.64,6,
89,2024-03-28,4,16,USR_0151,Mid-market PMs,Phrase,0.61,2,
90,2024-12-31,2,15,USR_0362,SMB PMs,Phrase,1.0,1,impacting users lives
91,2025-07-30,4,11,USR_0108,Startup PMs,Pain,0.53,2,boulder uphill
92,2025-10-24,3,16,USR_0478,SMB PMs,Pain,0.5,2,boulder uphill
93,2024-09-12,1,9,USR_0012,Mid-market PMs,Phrase,-0.03,2,
94,2025-08-12,3,10,USR_0422,Startup PMs,Pain,-0.3,1,
95,2025-02-02,5,10,USR_0396,Mid-market PMs,Pain,-0.43,2,sandbagging gatekeepers
96,2025-09-24,2,9,USR_0462,SMB PMs,Pain,-0.49,2,
97,2024-12-01,4,5,USR_0354,Enterprise PMs,Phrase,-0.72,2,
98,2024-10-20,4,17,USR_0059,Enterprise PMs,Dream,0.58,1,
99,2024-06-16,3,11,USR_0098,SMB PMs,Pain,0.57,1,
100,2025-12-07,1,18,USR_0242,Mid-market PMs,Phrase,0.89,1,CEO without power
101,2024-02-13,2,15,USR_0151,Mid-market PMs,Pain,0.6,1,
102,2024-01-19,5,12,USR_0007,Enterprise PMs,Phrase,0.72,1,CEO without power
103,2024-08-18,5,10,USR_0010,Startup PMs,Pain,-0.64,1,boulder uphill
104,2025-07-27,4,8,USR_0166,Startup PMs,Dream,-0.15,3,impacting users lives
105,2025-08-31,5,11,USR_0433,SMB PMs,Phrase,0.82,4,
106,2025-04-30,1,5,USR_0120,SMB PMs,Pain,-0.9,15,
107,2024-06-01,5,6,USR_0493,Enterprise PMs,Pain,-0.48,1,
108,2025-05-11,1,17,USR_0322,Startup PMs,Phrase,0.64,2,
109,2024-01-19,1,5,USR_0423,Enterprise PMs,Phrase,-0.29,10,
110,2025-10-31,4,4,USR_0216,Enterprise PMs,Dream,-0.42,1,impacting users lives
111,2025-10-02,4,9,USR_0271,Startup PMs,Pain,-0.42,3,
112,2025-01-13,3,7,USR_0380,Enterprise PMs,Phrase,-0.44,3,
113,2025-02-05,4,6,USR_0443,Enterprise PMs,Dream,-0.04,2,
114,2025-08-16,5,14,USR_0220,Startup PMs,Dream,0.82,1,
115,2024-11-06,4,15,USR_0088,SMB PMs,Phrase,0.72,1,
116,2025-10-19,2,10,USR_0463,Startup PMs,Phrase,-0.33,1,
117,2025-04-30,5,2,USR_0044,Mid-market PMs,Pain,-0.39,5,
118,2025-05-23,4,16,USR_0145,Enterprise PMs,Pain,0.8,1,impacting users lives
119,2025-12-31,5,6,USR_0004,SMB PMs,Pain,0.15,10,
120,2024-10-22,5,4,USR_0302,SMB PMs,Phrase,-0.5,5,
121,2024-06-19,3,15,USR_0107,SMB PMs,Dream,0.85,5,impacting users lives
