State,State_Abbreviation,Official_Median_Income_2024
Alabama,AL,65560
Alaska,AK,84900
Arizona,AZ,68100
Arkansas,AR,64840
California,CA,96900
Colorado,CO,97113
Connecticut,CT,100500
Delaware,DE,85860
District of Columbia,DC,109707
Florida,FL,65800
Georgia,GA,81210
Hawaii,HI,98600
Idaho,ID,81650
Illinois,IL,81800
Indiana,IN,76710
Iowa,IA,71400
Kansas,KS,66900
Kentucky,KY,64790
Louisiana,LA,60740
Maine,ME,66100
Maryland,MD,102600
Massachusetts,MA,113900
Michigan,MI,79460
Minnesota,MN,90700
Mississippi,MS,59127
Missouri,MO,78390
Montana,MT,81920
Nebraska,NE,86140
Nevada,NV,80590
New Hampshire,NH,90100
New Jersey,NJ,105800
New Mexico,NM,64140
New York,NY,85600
North Carolina,NC,67220
North Dakota,ND,88080
Ohio,OH,80520
Oklahoma,OK,65310
Oregon,OR,89700
Pennsylvania,PA,72600
Rhode Island,RI,92290
South Carolina,SC,76780
South Dakota,SD,79850
Tennessee,TN,75860
Texas,TX,67400
Utah,UT,88600
Vermont,VT,85260
Virginia,VA,91500
Washington,WA,95500
West Virginia,WV,63150
Wisconsin,WI,72100
Wyoming,WY,66600
